price,date,volume
MYR RM2.54,"Jul 24, 2020",1.7M
MYR RM3.07,"Jul 30, 2020",3.2M
MYR RM3.07,"Jul 30, 2020",3.2M
MYR RM3.00,"Aug 7, 2020",1.9M
MYR RM3.00,"Aug 7, 2020",1.9M
MYR RM3.00,"Aug 7, 2020",1.9M
MYR RM2.93,"Aug 14, 2020",876K
MYR RM2.93,"Aug 14, 2020",876K
MYR RM3.02,"Aug 21, 2020",670K
MYR RM3.02,"Aug 21, 2020",670K
MYR RM3.03,"Aug 28, 2020",2.1M
MYR RM3.03,"Aug 28, 2020",2.1M
MYR RM3.03,"Aug 28, 2020",2.1M
MYR RM3.13,"Sep 4, 2020",854K
MYR RM3.13,"Sep 4, 2020",854K
MYR RM3.07,"Sep 11, 2020",1.4M
MYR RM3.07,"Sep 11, 2020",1.4M
MYR RM3.15,"Sep 18, 2020",2.4M
MYR RM3.15,"Sep 18, 2020",2.4M
MYR RM3.15,"Sep 18, 2020",2.4M
MYR RM3.18,"Sep 25, 2020",2.2M
MYR RM3.18,"Sep 25, 2020",2.2M
MYR RM3.15,"Oct 2, 2020",1M
MYR RM3.15,"Oct 2, 2020",1M
MYR RM3.24,"Oct 9, 2020",833K
MYR RM3.24,"Oct 9, 2020",833K
MYR RM3.24,"Oct 9, 2020",833K
MYR RM3.30,"Oct 16, 2020",475K
MYR RM3.30,"Oct 16, 2020",475K
MYR RM3.53,"Oct 23, 2020",2M
MYR RM3.53,"Oct 23, 2020",2M
MYR RM3.55,"Oct 30, 2020",765K
MYR RM3.55,"Oct 30, 2020",765K
MYR RM3.55,"Oct 30, 2020",765K
MYR RM3.76,"Nov 6, 2020",1.1M
MYR RM3.76,"Nov 6, 2020",1.1M
MYR RM3.79,"Nov 13, 2020",897K
MYR RM3.79,"Nov 13, 2020",897K
MYR RM3.77,"Nov 20, 2020",333K
MYR RM3.77,"Nov 20, 2020",333K
MYR RM3.77,"Nov 20, 2020",333K
MYR RM3.73,"Nov 27, 2020",967K
MYR RM3.73,"Nov 27, 2020",967K
MYR RM3.76,"Dec 4, 2020",682K
MYR RM3.76,"Dec 4, 2020",682K
MYR RM3.76,"Dec 4, 2020",682K
MYR RM3.69,"Dec 11, 2020",751K
MYR RM3.69,"Dec 11, 2020",751K
MYR RM3.61,"Dec 18, 2020",1.2M
MYR RM3.61,"Dec 18, 2020",1.2M
MYR RM3.62,"Dec 24, 2020",340K
MYR RM3.62,"Dec 24, 2020",340K
MYR RM3.62,"Dec 24, 2020",340K
MYR RM3.68,"Dec 31, 2020",279K
MYR RM3.68,"Dec 31, 2020",279K
MYR RM3.44,"Jan 8, 2021",688K
MYR RM3.44,"Jan 8, 2021",688K
MYR RM3.78,"Jan 15, 2021",1.3M
MYR RM3.78,"Jan 15, 2021",1.3M
MYR RM3.78,"Jan 15, 2021",1.3M
MYR RM4.20,"Jan 22, 2021",3.3M
MYR RM4.20,"Jan 22, 2021",3.3M
MYR RM4.15,"Jan 29, 2021",1.5M
MYR RM4.15,"Jan 29, 2021",1.5M
MYR RM4.37,"Feb 5, 2021",1.1M
MYR RM4.37,"Feb 5, 2021",1.1M
