timestamp,open,high,low,close,volume
2024-05-29,834.2500,854.6500,831.2000,835.5000,14801
2024-05-28,850.3000,862.2000,830.9500,835.5500,23862
2024-05-27,820.2500,851.1000,820.2500,847.6000,30115
2024-05-24,842.0500,853.5500,821.0000,824.5500,5096
2024-05-23,836.0500,855.0000,828.5000,848.7500,26286
2024-05-22,822.5500,841.0000,822.5000,835.5000,25042
2024-05-21,780.0500,824.0000,780.0500,820.6500,33405
2024-05-18,792.0000,794.2000,781.7500,794.2000,2971
2024-05-17,800.0000,801.7500,792.9000,795.1000,8820
2024-05-16,800.8000,804.7500,793.7000,798.6500,10236
2024-05-15,818.6500,818.6500,796.5000,800.7000,11770
2024-05-14,830.5500,832.3500,798.6000,802.6000,12291
2024-05-13,822.6000,833.4500,805.9500,824.7000,12185
2024-05-10,840.0000,845.3500,813.8000,822.5500,27621
2024-05-09,860.0000,864.5000,832.0000,839.0500,25497
2024-05-08,874.4000,876.9500,862.3000,864.5000,11338
2024-05-07,881.9000,899.4500,861.9000,878.4500,23815
2024-05-06,879.9500,895.0000,859.9000,879.2500,58475
2024-05-03,892.2000,902.5000,865.0000,869.6000,33382
2024-05-02,971.9000,989.9000,873.4500,893.2000,174569
2024-04-30,925.7000,967.9500,910.0000,960.6500,44250
2024-04-29,877.6500,918.8500,861.4000,908.2000,23433
2024-04-26,873.5500,876.0000,849.5000,869.6000,32444
2024-04-25,845.3500,868.2500,844.9000,859.4000,4047
2024-04-24,855.0000,870.4500,846.0000,849.5000,2235
2024-04-23,843.6000,866.8000,843.6000,854.9500,2781
2024-04-22,844.1000,850.0500,829.9500,841.6000,5078
2024-04-19,845.0000,847.5000,825.0500,827.4000,4033
2024-04-18,851.6500,851.6500,827.7500,833.0000,19043
2024-04-16,836.1500,846.1500,836.1500,840.6000,6989
2024-04-15,767.0500,872.6500,767.0500,840.0000,25555
2024-04-12,856.4000,856.4000,835.1500,837.6500,7169
2024-04-10,883.7500,883.7500,842.1500,851.4000,5327
2024-04-09,873.8500,881.0500,855.4500,869.2000,12457
2024-04-08,812.0500,888.0000,812.0500,856.7000,20324
2024-04-05,803.7500,819.9500,798.3500,814.1000,8216
2024-04-04,805.3500,809.5500,791.0500,804.1500,4794
2024-04-03,785.9000,816.0000,785.9000,799.4500,10208
2024-04-02,788.4500,799.6500,780.0000,794.2000,2519
2024-04-01,781.0500,796.8500,773.0500,790.0000,3940
2024-03-28,787.4000,787.4000,755.6500,780.4000,3306
2024-03-27,772.9500,777.8000,765.0000,772.3500,3968
2024-03-26,769.8000,775.0000,753.7500,758.7000,3397
2024-03-22,764.9500,764.9500,752.0500,755.7500,5729
2024-03-21,761.5000,761.5000,745.6000,756.9500,3545
2024-03-20,735.0500,743.5500,725.0500,737.4000,3334
2024-03-19,746.0000,753.5500,732.2000,739.3500,2648
2024-03-18,757.2500,764.9500,738.2000,741.0500,5683
2024-03-15,749.6000,770.0000,737.0500,759.1500,7909
2024-03-14,809.9000,809.9000,743.0000,753.6500,21963
2024-03-13,785.0000,785.4500,753.7500,759.8500,8224
