timestamp,open,high,low,close,volume
2024-05-29,1046.9500,1061.0500,1028.0000,1043.0000,386545
2024-05-28,1105.0000,1107.6500,1078.9000,1082.7000,139968
2024-05-27,1122.1000,1122.1000,1096.0000,1100.2500,101463
2024-05-24,1122.7000,1124.6500,1107.0000,1108.9500,76928
2024-05-23,1129.2500,1138.7500,1116.5500,1121.7000,278881
2024-05-22,1122.3500,1148.3000,1106.0000,1134.0000,322925
2024-05-21,1108.0000,1122.0000,1087.8000,1115.5000,230203
2024-05-17,1040.0500,1100.0000,1038.9000,1093.4000,276105
2024-05-16,1028.2500,1044.5500,1028.2500,1040.0500,58023
2024-05-15,1028.1500,1040.0000,1021.0000,1028.2000,50195
2024-05-14,995.3000,1032.4500,993.7000,1026.4500,263431
2024-05-13,998.6500,1000.0000,973.3500,990.3500,58569
2024-05-10,989.3500,1003.9500,983.0000,994.9500,146400
2024-05-09,1016.9500,1016.9500,982.2000,986.1000,167895
2024-05-08,990.0000,1015.9500,989.0500,1007.8000,71295
2024-05-07,1024.1500,1028.0500,987.1000,993.3000,265922
2024-05-06,1059.9500,1059.9500,1007.5000,1022.4500,106510
2024-05-03,1062.3500,1075.4500,1041.2000,1052.3500,118434
2024-05-02,1038.6000,1076.3500,1038.2500,1056.0500,136533
2024-04-30,1052.4500,1057.4500,1034.9000,1038.5000,182990
2024-04-29,1050.3000,1067.3000,1037.8000,1045.3500,108450
2024-04-26,1035.0000,1058.8500,1027.0000,1044.1500,154120
2024-04-25,1031.4500,1037.7500,1022.0000,1027.5000,69250
2024-04-24,1029.5500,1029.5500,1017.1500,1025.0500,74169
2024-04-23,1006.3500,1019.0000,998.0500,1015.5000,197502
2024-04-22,1003.4500,1008.1000,995.0000,1000.0500,157492
2024-04-19,992.2000,1005.9500,971.0000,992.0000,126424
2024-04-18,1018.0000,1033.0000,987.7500,992.7500,249156
2024-04-16,1023.5500,1036.8500,1006.5500,1016.4500,153450
2024-04-15,1036.5000,1047.6000,1018.4500,1029.1500,654708
2024-04-12,1023.0000,1068.6500,1017.0500,1057.6500,425089
2024-04-10,1017.3500,1029.6000,1013.7000,1022.8000,102939
2024-04-09,1018.5500,1030.8500,1006.1500,1009.9500,104598
2024-04-08,1005.0000,1026.2000,998.0500,1014.6000,129475
2024-04-05,999.0000,1010.2500,994.0000,1002.7500,78318
2024-04-04,1016.0500,1023.1000,994.0500,997.9000,104476
2024-04-03,1003.4000,1037.1500,992.1000,1014.5000,244004
2024-04-02,969.8500,1012.0000,964.3000,1003.4000,394822
2024-04-01,930.0000,972.0000,930.0000,969.5000,525922
2024-03-28,930.0000,939.1000,926.6000,929.9500,58667
2024-03-27,930.0500,940.0000,926.3000,929.2000,150200
2024-03-26,927.1000,936.4500,920.9000,928.9500,71643
2024-03-22,939.9500,940.0000,926.5000,928.2500,65891
2024-03-21,910.7000,943.2000,910.7000,934.5500,299223
2024-03-20,904.4500,916.0000,882.6000,901.9000,279762
2024-03-19,918.6500,918.6500,900.1000,906.7500,55200
2024-03-18,906.1500,923.0000,903.6500,918.6500,164250
2024-03-15,898.7500,920.0000,877.5500,913.6000,343805
2024-03-14,877.9500,905.0500,863.0000,899.1000,134666
2024-03-13,924.0500,931.3500,868.9000,879.5500,156993
2024-03-12,939.9500,940.7000,915.5000,920.6500,257871
2024-03-11,934.0500,960.9000,931.1000,938.9500,145940
2024-03-07,929.2500,946.4000,929.2500,936.7000,65879
2024-03-06,935.8000,936.9500,911.8000,928.9500,233371
2024-03-05,938.0000,941.0000,928.6500,935.8000,161053
2024-03-04,928.9000,945.8000,924.1500,938.2000,87353
2024-03-02,935.0000,939.0500,931.8000,933.3000,7360
2024-03-01,934.9500,938.1500,927.0000,929.0500,57727
2024-02-29,924.5500,933.4500,912.5500,926.9000,217085
2024-02-28,952.3000,962.3000,920.2500,924.6000,136667
2024-02-27,973.8000,973.8000,948.2500,952.3000,116008
2024-02-26,968.0000,989.8000,963.5000,967.1000,308667
2024-02-23,946.7000,970.0000,946.0000,964.6500,767856
